experiment,model,solver,mode,test_case,avg_sec,avg_iter,objective,termination,numerical_issues,presolve
290,8760.mps,gurobi,jump_conic_dual,5,280.98,220.00,22388462.95,OPTIMAL,yes,no
291,8760.mps,gurobi,jump_conic_dual,6,13.93,72.00,22390479.87,OPTIMAL,no,yes
292,8760.mps,gurobi,jump_conic_dual,7,58.33,34.80,22376468.34,LOCALLY_SOLVED,yes,no
293,8760.mps,gurobi,jump_conic_dual,8,21.66,80.00,22389507.06,OPTIMAL,no,yes
294,8760.mps,gurobi,general,5,208.66,208.00,22388265.35,OPTIMAL,yes,no
295,8760.mps,gurobi,general,6,14.79,78.00,22390381.55,OPTIMAL,no,yes
296,8760.mps,gurobi,general,7,195.50,144.00,22388312.38,OPTIMAL,yes,no
297,8760.mps,gurobi,general,8,22.86,85.00,22389526.86,OPTIMAL,no,yes
298,8760.mps,highs,primal,5,121.45,112.00,22391880.20,OTHER_RESULT_STATUS,yes,yes
299,8760.mps,highs,jump_conic_dual,5,111.46,87.00,-22384621.50,OTHER_RESULT_STATUS,yes,yes
300,8760.mps,highs,general,5,104.80,94.00,-22384832.83,OTHER_RESULT_STATUS,yes,yes
